Date,Description,Withdrawal,Deposit,Category,deposit,Unnamed: 4,Amount
2024-04-30,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,,BankFees,,,
2024-04-30,Internet Banking INTERNET BILL PAY 000000116937 CRA (REVENUE - 2023 TAX R,5504.0,,Tax-Personal,,,
2024-04-30,Internet Banking E-TRANSFER 010989033295 DSD Kanrat Inc.,,5000.0,Etransfers,,,
2024-04-30,Internet Banking E-TRANSFER 010988261353 DILEEP BHANUPRAKSH,,51.96,Etransfers,,,
2024-04-29,Electronic Funds Transfer PREAUTHORIZED DEBIT ELEXICON ENERGY INC,103.0,,Utilities,,,
2024-04-26,Internet Banking E-TRANSFER 010969677387 Santo Meridian,250.0,,Etransfers,,,
2024-04-26,Point of Sale - Interac RETAIL PURCHASE 001001001848 NEW SPICELAND S,73.85,,Groceries,,,
2024-04-24,Internet Banking E-TRANSFER 104967763459 Sudhir Badminton,83.05,,Etransfers,,,
2024-04-23,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-04-22,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-04-22,"Internet Banking INTERNET BILL PAY 000000111234 VISA, TD/BANQUE TD",640.06,,CreditCards,,,
2024-04-22,Internet Banking INTERNET BILL PAY 000000139305 FLEXITI FINANCIAL/FINANCI,286.57,,HomeImprovement,,,
2024-04-19,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,3123.26,Income,,,
2024-04-18,Internet Banking E-TRANSFER 010979548821 Arjun CIBC,,74.0,Etransfers,,,
2024-04-16,Electronic Funds Transfer PREAUTHORIZED DEBIT IND ALL LIFE IN,167.85,,Insurance,,,
2024-04-16,Automated Banking Machine ATM WITHDRAWAL DURHAM BANKING CENTRE 3D18,100.0,,Cash,,,
2024-04-15,Electronic Funds Transfer PREAUTHORIZED DEBIT Town of Ajax,570.96,,Tax-Property,,,
2024-04-15,Internet Banking E-TRANSFER 010976734373 Santhosh Kanakappan,,700.0,Etransfers,,,
2024-04-15,Internet Banking INTERNET TRANSFER 000000137680,500.0,,CreditCards,,,
2024-04-15,Point of Sale - Interac RETAIL PURCHASE 001001001885 NEW SPICELAND S,177.69,,Groceries,,,
2024-04-15,Point of Sale - Interac RETAIL PURCHASE 001001001809 NEW SPICELAND R,24.94,,Groceries,,,
2024-04-15,Internet Banking INTERNET TRANSFER 000000208495,1922.19,,CreditCards,,,
2024-04-15,Internet Banking INTERNET TRANSFER 000000108716,,900.0,CreditCards,,,
2024-04-12,Internet Banking E-TRANSFER 010969668031 Santo Meridian,250.0,,Etransfers,,,
2024-04-11,Electronic Funds Transfer PREAUTHORIZED DEBIT INVESTMENT CIBCSI EFT-PAC,500.0,,Investments,,,
2024-04-10,Point of Sale - Interac RETAIL PURCHASE 001001001269 NEW SPICELAND R,11.16,,Groceries,,,
2024-04-10,Internet Banking E-TRANSFER 010973160663 AMBER THOMPSON,,75.0,Etransfers,,,
2024-04-09,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-04-09,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 410008333947 5994.13 INR @ 0,100.0,,GlobalTransfers,,,
2024-04-09,Internet Banking E-TRANSFER 104950067288 Dance Payment,130.0,,Etransfers,,,
2024-04-08,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-04-08,Electronic Funds Transfer PREAUTHORIZED DEBIT UNICA,186.64,,Insurance,,,
2024-04-08,Electronic Funds Transfer PREAUTHORIZED DEBIT UNICA,134.03,,Insurance,,,
2024-04-08,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 409910054013 10229.26 INR @ 0,170.0,,GlobalTransfers,,,
2024-04-08,Point of Sale - Interac RETAIL PURCHASE 275132406628 SQ *NAZFOODS,2.25,,Groceries,,,
2024-04-08,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 409723276343 5995.20 INR @ 0,100.0,,GlobalTransfers,,,
2024-04-08,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 409723269844 5995.20 INR @ 0,100.0,,GlobalTransfers,,,
2024-04-08,Internet Banking INTERNET TRANSFER 000000227314,2794.68,,CreditCards,,,
2024-04-05,Electronic Funds Transfer PREAUTHORIZED DEBIT CERTAS HOME &AUTO INSURANCE CO,131.42,,Insurance,,,
2024-04-05,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,2913.15,Income,,,
2024-04-04,Internet Banking E-TRANSFER 010968770897 DSD Kanrat Inc.,,5000.0,Etransfers,,,
2024-04-01,Internet Banking E-TRANSFER 104939938014 Sudhir Badminton,33.9,,Etransfers,,,
2024-04-01,Internet Banking E-TRANSFER 010951633825 Santo Meridian,250.0,,Etransfers,,,
2024-03-28,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,,BankFees,,,
2024-03-28,Electronic Funds Transfer PREAUTHORIZED DEBIT ELEXICON ENERGY INC,103.0,,Utilities,,,
2024-03-27,Internet Banking E-TRANSFER 010919370676 SANTHOSH KANAKAPPAN,,609.76,Etransfers,,,
2024-03-27,Internet Banking INTERNET DEPOSIT 000000107865,,282.44,Deposit-others,,,
2024-03-27,Point of Sale - Interac RETAIL PURCHASE 001001001587 NEW SPICELAND R,12.2,,Groceries,,,
2024-03-27,Internet Banking INTERNET TRANSFER 000000122091,,500.0,CreditCards,,,
2024-03-27,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 408621268626 30000.00 INR @ 0,499.68,,GlobalTransfers,,,
2024-03-26,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-03-25,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-03-25,Internet Banking E-TRANSFER 104931227319 Santhosh TD,261.95,,Etransfers,,,
2024-03-25,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 408311129884 20140.68 INR @ 0,335.0,,GlobalTransfers,,,
2024-03-22,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 408200052902 54180.96 INR @ 0,900.0,,GlobalTransfers,,,
2024-03-22,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,2913.15,Income,,,
